Module,Section,Question,1: Nonexistent,2: Basic,3: Adequate,4: Comprehensive,5: Exceptional
One: Leadership and Governance,Governance,"1. Is the organization legally constituted, registered? ",Not legally constituted  ,Legally constituted but operational license is outdated ,  ,,Legally constituted with valid operating license
One: Leadership and Governance,Governance,2. Does the organization have a board of governors with diverse expertise?,No board ,Board existed but its serving term expired ,"Board exists, with full membership but no diverse in expertise ","Board exists, with full membership, diverse in expertise","Board exists, with full membership, diverse in expertise and with members with high credentials "
One: Leadership and Governance,Governance,3. Does the organization have a defined process and criteria for selecting and vetting board members? Describe the process,No board selection criteria and process for selecting and vetting board members  ,Criteria and process for selecting and vetting board members exists but not documented ,Criteria and process for selecting and vetting board members exists but rarely applied ,Criteria and process for selecting and vetting board members exists and there is sometimes applied,Criteria and process for selecting and vetting board members exists and there is always applied 
One: Leadership and Governance,Governance,4. Does the board meet regularly with an agenda and meeting minutes? ,Board does not meet ,Board meets sometimes,Board meets most times with an agenda  ,"Board meets regularly, with a clear agenda and minutes","Board meets regularly as per schedule, with a clear agenda relevant to board roles, and minutes"
One: Leadership and Governance,Governance,"5. Does the organization have a defined mission, vision, core values that are used to set strategic priorities? Are these reviewed regularly? ","No vision, mission","The vision, mission, values are either not clearly stated or irrelevant to current programs   ","The vision and/or mission is;
-	A moderately clear or specific understanding of what the organization aspires to become or achieve
-	Not widely held
Rarely used to direct actions or to set priorities","The vision and/or mission is
-	A clear, specific statement of what the organization aspires to become or achieve.
-	Well-known to most but not all staff.
Sometimes used to direct actions and to set priorities","The vision and/or mission is
-	A clear, specific and forceful understanding of what the organization aspires to become or to achieve
-	Well-communicated and broadly
-	held within the organization
-	Consistently used to direct actions
and to set priorities"
One: Leadership and Governance,Governance,"6. Does the board perform the following key functions; 
1.	Compliance, legal and ethical integrity
2.	Financial oversight and accountability
Adequate resources to drive strategy ",Neither of the stated key functions is performed by the board ,The board performs 1 out of the 3 stated key functions,The board performs 2 out of the 3 stated key functions,The board performs 3 out of the 3 stated key functions,The board performs all 3 stated key functions plus other additional 
One: Leadership and Governance,Governance,"7. Does the board establish and maintain collaborative, effective relationships with key partners, donors, stakeholders and the public? How?",No ,"The board establishes and maintains collaborative, effective relationships with a few key partners, donors, and stakeholders  ","The board establishes and maintains collaborative, effective relationships with some key partners, donors, and stakeholders  ","The board establishes and maintains collaborative, effective relationships with most key partners, donors, stakeholders and the public","The board establishes and maintains collaborative, effective relationships with all key partners, donors, stakeholders and the public"
One: Leadership and Governance,Organizational Leadership,1. Mission and vision,Do not exist/ individuals have never heard of our organization mission and vision.  ,Exists but the vision statement does not describe the future our organization intends to achieve,Organizational decisions are sometimes not reflective of the mission and vision of the organization and staff do not detract from its fulfillment,Organizational decisions are reflective of the mission and vision of the organization,Organizational decisions are always reflective of the mission and vision of the organization and all staff fully embrace or can clearly describe the mission and vision
One: Leadership and Governance,Organizational Leadership,2. Strategic leadership ,The board does not evaluate its performance on a regular basis.,The board rarely evaluates its performance and regularly review an annual set of organizational strategic goals and measurable outcomes.,The board sometimes evaluates its performance and regularly review an annual set of organizational strategic goals and measurable outcomes.,The board often evaluates its performance and regularly review an annual set of organizational strategic goals and measurable outcomes.,The board always evaluates its performance and regularly review an annual set of organizational strategic goals and measurable outcomes.
One: Leadership and Governance,Organizational Leadership,3. Performance evaluation and use of results,"The board never updates and adopts a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications.","The board rarely updates and adopt a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications","The board sometimes updates and adopt a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications but only a few Board members do not have enough knowledge about our organization and current issues relevant to our organization to make effective policy decisions.","The board often updates and adopt a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications and the majority of Board members do have enough knowledge about our organization and current issues relevant to our organization but do not always use this knowledge to make effective policy decisions.","The board always updates and adopt a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications and Board members have enough knowledge about our organization and current issues relevant to our organization to make effective policy decisions."
