Module,Part,Question,comment,Program,Qn,section,module,C_N,Score,Description
One, Governance,"Q1. Is the organization legally constituted, registered?","UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",ROM,1,1,1,1_1_1,5,Legally constituted with valid operating license
One, Governance,"Q1. Is the organization legally constituted, registered?","UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",UCMB,1,1,1,1_1_1,5,Legally constituted with valid operating license
One, Governance,"Q1. Is the organization legally constituted, registered?","UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",UPMB,1,1,1,1_1_1,5,Legally constituted with valid operating license
One, Governance,"Q1. Is the organization legally constituted, registered?","UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",UMMB,1,1,1,1_1_1,5,Legally constituted with valid operating license
One, Governance,"Q1. Is the organization legally constituted, registered?","UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",AIC,1,1,1,1_1_1,5,Legally constituted with valid operating license
One, Governance,Q2. Does the organization have a board of governors with diverse expertise?,"UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",ROM,2,1,1,1_1_2,5,"Board exists, with full membership, diverse in expertise and with members with high credentials "
One, Governance,Q2. Does the organization have a board of governors with diverse expertise?,"UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",UCMB,2,1,1,1_1_2,5,"Board exists, with full membership, diverse in expertise and with members with high credentials "
One, Governance,Q2. Does the organization have a board of governors with diverse expertise?,"UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",UPMB,2,1,1,1_1_2,5,"Board exists, with full membership, diverse in expertise and with members with high credentials "
One, Governance,Q2. Does the organization have a board of governors with diverse expertise?,"UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",UMMB,2,1,1,1_1_2,4,"Board exists, with full membership, diverse in expertise"
One, Governance,Q2. Does the organization have a board of governors with diverse expertise?,"UCMB: ""The health commission in government is the board. For UEC, the Bishop is the chairman of the board.""
AIC: ""Board of trustees with 9 members. 1. Dr Daniel Okello Ayengo – MD and public health specialist. 2. Vice Chair is Dr Shaban (Uganda AIDS commission). 3. Two professors (medicine and vice chancellor).""
UMMB: ""Appointed by the supreme council – they are doctors, pharmaceutical, nurses, lawyer, nurses and midwives, and a rep from the community.""",AIC,2,1,1,1_1_2,5,"Board exists, with full membership, diverse in expertise and with members with high credentials "
One, Governance,Q3. Does the organization have a defined process and criteria for selecting and vetting board members? Describe the process,"UCMB: ""Bishops are chosen by their parliament (UEC). The collaborating members are proposed by UCMB through the health commission.""
UPMB: ""Yes there is a board charter and criteria that clearly spells out how they are selected.""
AIC: ""Their constitution stipulates how they select board members.""",ROM,3,1,1,1_1_3,5,Criteria and process for selecting and vetting board members exists and there is always applied 
One, Governance,Q3. Does the organization have a defined process and criteria for selecting and vetting board members? Describe the process,"UCMB: ""Bishops are chosen by their parliament (UEC). The collaborating members are proposed by UCMB through the health commission.""
UPMB: ""Yes there is a board charter and criteria that clearly spells out how they are selected.""
AIC: ""Their constitution stipulates how they select board members.""",UCMB,3,1,1,1_1_3,5,Criteria and process for selecting and vetting board members exists and there is always applied 
One, Governance,Q3. Does the organization have a defined process and criteria for selecting and vetting board members? Describe the process,"UCMB: ""Bishops are chosen by their parliament (UEC). The collaborating members are proposed by UCMB through the health commission.""
UPMB: ""Yes there is a board charter and criteria that clearly spells out how they are selected.""
AIC: ""Their constitution stipulates how they select board members.""",UPMB,3,1,1,1_1_3,5,Criteria and process for selecting and vetting board members exists and there is always applied 
